"","X","Brewery_ID","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State"
"1",1,1,"Get Together",2692,0.045,50,"American IPA",16,"NorthGate Brewing ","Minneapolis"," MN"
"2",2,1,"Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16,"NorthGate Brewing ","Minneapolis"," MN"
"3",3,1,"Wall's End",2690,0.048,19,"English Brown Ale",16,"NorthGate Brewing ","Minneapolis"," MN"
"4",4,1,"Pumpion",2689,0.06,38,"Pumpkin Ale",16,"NorthGate Brewing ","Minneapolis"," MN"
"5",5,1,"Stronghold",2688,0.06,25,"American Porter",16,"NorthGate Brewing ","Minneapolis"," MN"
"6",6,1,"Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16,"NorthGate Brewing ","Minneapolis"," MN"
"7",7,2,"Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville"," KY"
"8",8,2,"London Balling",2685,0.125,80,"English Barleywine",16,"Against the Grain Brewery","Louisville"," KY"
"9",9,2,"35 K",2684,0.077,25,"Milk / Sweet Stout",16,"Against the Grain Brewery","Louisville"," KY"
"10",10,2,"A Beer",2683,0.042,42,"American Pale Ale (APA)",16,"Against the Grain Brewery","Louisville"," KY"
"11",11,2,"Rules are Rules",2682,0.05,25,"German Pilsener",16,"Against the Grain Brewery","Louisville"," KY"
"12",12,2,"Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16,"Against the Grain Brewery","Louisville"," KY"
"13",13,2,"Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16,"Against the Grain Brewery","Louisville"," KY"
"14",14,2,"Bloody Show",2679,0.055,17,"American Pilsner",16,"Against the Grain Brewery","Louisville"," KY"
"15",15,2,"Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16,"Against the Grain Brewery","Louisville"," KY"
"16",16,2,"Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16,"Against the Grain Brewery","Louisville"," KY"
"17",17,2,"Kamen Knuddeln",2676,0.065,NA,"American Wild Ale",16,"Against the Grain Brewery","Louisville"," KY"
"18",18,2,"Pile of Face",2675,0.06,65,"American IPA",16,"Against the Grain Brewery","Louisville"," KY"
"19",19,2,"The Brown Note",2674,0.05,20,"English Brown Ale",16,"Against the Grain Brewery","Louisville"," KY"
"20",20,3,"House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16,"Jack's Abby Craft Lagers","Framingham"," MA"
"21",21,3,"Leisure Time",2672,0.048,15,"American Pale Lager",12,"Jack's Abby Craft Lagers","Framingham"," MA"
"22",22,3,"Excess IPL",2671,0.072,80,"American India Pale Lager",16,"Jack's Abby Craft Lagers","Framingham"," MA"
"23",23,3,"Hoponius Union",2670,0.067,65,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham"," MA"
"24",24,3,"Calyptra",2669,0.049,45,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham"," MA"
"25",25,4,"Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16,"Mike Hess Brewing Company","San Diego"," CA"
"26",26,4,"Solis",2667,0.075,85,"American IPA",16,"Mike Hess Brewing Company","San Diego"," CA"
"27",27,4,"Jucundus",2666,0.06,24,"Wheat Ale",16,"Mike Hess Brewing Company","San Diego"," CA"
"28",28,4,"Habitus",2664,0.08,100,"American Double / Imperial IPA",16,"Mike Hess Brewing Company","San Diego"," CA"
"29",29,4,"Grazias",2663,0.063,30,"Cream Ale",16,"Mike Hess Brewing Company","San Diego"," CA"
"30",30,4,"Claritas",2662,0.058,28,"Kölsch",16,"Mike Hess Brewing Company","San Diego"," CA"
"31",31,5,"Park",2661,0.047,19,"American Pale Wheat Ale",12,"Fort Point Beer Company","San Francisco"," CA"
"32",32,5,"Westfalia",2660,0.056,16,"American Amber / Red Ale",12,"Fort Point Beer Company","San Francisco"," CA"
"33",33,5,"KSA",2659,0.046,17,"Kölsch",12,"Fort Point Beer Company","San Francisco"," CA"
"34",34,5,"Villager",2658,0.063,42,"American IPA",12,"Fort Point Beer Company","San Francisco"," CA"
"35",35,6,"Blackbeard",2657,0.093,NA,"American Double / Imperial Stout",12,"COAST Brewing Company","Charleston"," SC"
"36",36,6,"Rye Knot",2656,0.062,NA,"American Brown Ale",12,"COAST Brewing Company","Charleston"," SC"
"37",37,6,"Dead Arm",2655,0.06,NA,"American Pale Ale (APA)",12,"COAST Brewing Company","Charleston"," SC"
"38",38,6,"32°/50° Kölsch ",2654,0.048,NA,"Kölsch",16,"COAST Brewing Company","Charleston"," SC"
"39",39,6,"HopArt",2653,0.077,NA,"American IPA",16,"COAST Brewing Company","Charleston"," SC"
"40",40,6,"Boy King",2652,0.097,NA,"American Double / Imperial IPA",16,"COAST Brewing Company","Charleston"," SC"
"41",41,7,"Denver Pale Ale (Artist Series No. 1)",2650,0.05,NA,"American Pale Ale (APA)",12,"Great Divide Brewing Company","Denver"," CO"
"42",42,7,"Hibernation Ale",2649,0.087,NA,"Old Ale",12,"Great Divide Brewing Company","Denver"," CO"
"43",43,7,"Whitewater",2648,0.061,NA,"American Pale Wheat Ale",12,"Great Divide Brewing Company","Denver"," CO"
"44",44,7,"Rumble",2647,0.071,NA,"American IPA",12,"Great Divide Brewing Company","Denver"," CO"
"45",45,7,"Orabelle",2646,0.083,NA,"Tripel",12,"Great Divide Brewing Company","Denver"," CO"
"46",46,7,"Lasso",2645,0.05,NA,"American IPA",12,"Great Divide Brewing Company","Denver"," CO"
"47",47,7,"Yeti  Imperial Stout",2644,0.095,75,"Russian Imperial Stout",12,"Great Divide Brewing Company","Denver"," CO"
"48",48,7,"Colette",2643,0.073,NA,"Saison / Farmhouse Ale",12,"Great Divide Brewing Company","Denver"," CO"
"49",49,7,"Titan IPA",2642,0.071,NA,"American IPA",12,"Great Divide Brewing Company","Denver"," CO"
"50",50,8,"Peck's Porter",2640,0.065,35,"American Porter",16,"Tapistry Brewing","Bridgman"," MI"
"51",51,8,"Reactor",2448,0.07,NA,"American IPA",16,"Tapistry Brewing","Bridgman"," MI"
"52",52,8,"Mr. Orange",2447,0.057,NA,"Witbier",16,"Tapistry Brewing","Bridgman"," MI"
"53",53,9,"Dark Star",2639,0.08,54,"American Stout",16,"Big Lake Brewing","Holland"," MI"
"54",54,9,"Ryecoe",2469,0.062,NA,"American IPA",16,"Big Lake Brewing","Holland"," MI"
"55",55,10,"G. B. Russo’s Italian Pistachio Pale Ale",2638,0.052,NA,"American Pale Ale (APA)",16,"The Mitten Brewing Company","Grand Rapids"," MI"
"56",56,11,"Belfort",2637,0.067,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"57",57,11,"Star Runner",2636,0.06,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"58",58,11,"Tart Side of the Barrel",2598,0.098,NA,"American Double / Imperial Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"59",59,11,"Linnaeus Mango IPA",2597,0.06,NA,"American IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"60",60,11,"Beasts A'Burnin'",2548,0.07,NA,"Rauchbier",16,"Brewery Vivant","Grand Rapids"," MI"
"61",61,11,"Verdun",2542,0.077,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids"," MI"
"62",62,11,"Barrel Aged Triomphe",2541,0.065,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"63",63,11,"Cherry Doppelbock",2504,0.065,NA,"Doppelbock",16,"Brewery Vivant","Grand Rapids"," MI"
"64",64,11,"Tropical Saison",2500,0.065,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"65",65,11,"Beach Patrol",2499,0.065,NA,"Witbier",16,"Brewery Vivant","Grand Rapids"," MI"
"66",66,11,"Nuit Serpent",2498,0.05,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"67",67,11,"Paris",2481,0.09,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"68",68,11,"The Grand Army",2476,0.055,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"69",69,11,"Acidulated Trip",2467,0.059,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"70",70,11,"Root Stock",2466,0.066,NA,"Rye Beer",16,"Brewery Vivant","Grand Rapids"," MI"
"71",71,11,"Mind Games",2465,0.041,NA,"Dunkelweizen",16,"Brewery Vivant","Grand Rapids"," MI"
"72",72,11,"Sous Chef",2433,0.082,NA,"Belgian Strong Pale Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"73",73,11,"Dubbelicious",2418,0.065,NA,"Dubbel",16,"Brewery Vivant","Grand Rapids"," MI"
"74",74,11,"Psychopomp",2416,0.062,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"75",75,11,"Fat Paczki",2382,NA,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"76",76,11,"Earth-Like Planets",2381,NA,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"77",77,11,"Ski Patrol",2290,0.061,NA,"Witbier",16,"Brewery Vivant","Grand Rapids"," MI"
"78",78,11,"Viking Ice Hole",2241,0.063,NA,"Oatmeal Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"79",79,11,"Rye Porter",2240,0.056,NA,"American Porter",16,"Brewery Vivant","Grand Rapids"," MI"
"80",80,11,"Wizard Burial Ground",2137,0.099,NA,"Quadrupel (Quad)",16,"Brewery Vivant","Grand Rapids"," MI"
"81",81,11,"Smoky Wheat",2101,0.051,NA,"Rauchbier",16,"Brewery Vivant","Grand Rapids"," MI"
"82",82,11,"BRIPA",2092,0.062,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"83",83,11,"Mela",2091,0.062,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"84",84,11,"W.I.P.A Snappa",2086,0.053,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"85",85,11,"Pepper in the Rye",2023,0.063,NA,"Rye Beer",16,"Brewery Vivant","Grand Rapids"," MI"
"86",86,11,"Moe Lasses'",2006,0.064,NA,"American Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"87",87,11,"Pumpkin Tart",1997,0.07,NA,"Fruit / Vegetable Beer",16,"Brewery Vivant","Grand Rapids"," MI"
"88",88,11,"Undertaker",1977,0.067,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"89",89,11,"Undertaker (2014)",1976,0.067,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"90",90,11,"Coq D'Or",1974,0.05,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"91",91,11,"North French",1973,0.06,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids"," MI"
"92",92,11,"Agent a Deux",1959,0.065,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"93",93,11,"Belgian Wit",1958,0.045,NA,"Witbier",16,"Brewery Vivant","Grand Rapids"," MI"
"94",94,11,"Pothole Stout",1949,0.063,NA,"American Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"95",95,11,"Tree Bucket",1947,0.093,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"96",96,11,"Le Flaneur Ale",1785,0.073,NA,"American Wild Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"97",97,11,"Maize & Blueberry",1651,0.056,NA,"Fruit / Vegetable Beer",16,"Brewery Vivant","Grand Rapids"," MI"
"98",98,11,"Trebuchet Double IPA",1443,0.093,NA,"American Double / Imperial IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"99",99,11,"Contemplation",1352,0.065,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids"," MI"
"100",100,11,"Black Rabbit",1267,0.05,NA,"American Black Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"101",101,11,"Zaison",1266,0.09,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"102",102,11,"Vivant Tripel",1178,0.082,NA,"Tripel",16,"Brewery Vivant","Grand Rapids"," MI"
"103",103,11,"Tart Side of the Moon",1136,0.098,NA,"Belgian Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"104",104,11,"Big Red Coq",1044,0.06,NA,"American Amber / Red Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"105",105,11,"Hubris Quadrupel Anniversary Ale",1033,0.099,NA,"Quadrupel (Quad)",16,"Brewery Vivant","Grand Rapids"," MI"
"106",106,11,"Plow Horse Belgian Style Imperial Stout",1031,0.095,NA,"American Double / Imperial Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"107",107,11,"Escoffier Bretta Ale",909,0.092,NA,"American Wild Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"108",108,11,"Contemplation (2012)",873,0.065,NA,"Bière de Garde",16,"Brewery Vivant","Grand Rapids"," MI"
"109",109,11,"Vivant Belgian Style Imperial Stout (2012)",860,0.099,NA,"Russian Imperial Stout",16,"Brewery Vivant","Grand Rapids"," MI"
"110",110,11,"Big Red Coq (2012)",677,0.062,NA,"American Amber / Red Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"111",111,11,"Zaison (2012)",671,0.09,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"112",112,11,"Vivant Tripel (2012)",670,0.092,NA,"Tripel",16,"Brewery Vivant","Grand Rapids"," MI"
"113",113,11,"Trebuchet Double IPA (2012)",669,0.097,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"114",114,11,"Kludde",627,0.085,NA,"Belgian Strong Dark Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"115",115,11,"Farm Hand",387,0.055,NA,"Saison / Farmhouse Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"116",116,11,"Solitude",385,0.06,NA,"Belgian Pale Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"117",117,11,"Triomphe",384,0.065,NA,"Belgian IPA",16,"Brewery Vivant","Grand Rapids"," MI"
"118",118,12,"Sparkle",2635,0.041,12,"American Pale Lager",16,"Petoskey Brewing","Petoskey"," MI"
"119",119,12,"North 45 Amber Ale",1404,0.059,25,"American Amber / Red Ale",16,"Petoskey Brewing","Petoskey"," MI"
"120",120,12,"Horny Monk",1403,0.069,20,"Dubbel",16,"Petoskey Brewing","Petoskey"," MI"
"121",121,12,"Mind's Eye PA",1402,0.067,74,"American IPA",16,"Petoskey Brewing","Petoskey"," MI"
"122",122,13,"Nordskye ",2634,0.048,47,"American IPA",12,"Blackrocks Brewery","Marquette"," MI"
"123",123,13,"North Third Stout",2153,0.06,30,"Foreign / Export Stout",12,"Blackrocks Brewery","Marquette"," MI"
"124",124,13,"Honey Lav",1953,0.052,NA,"American Pale Wheat Ale",12,"Blackrocks Brewery","Marquette"," MI"
"125",125,13,"Coconut Brown Ale",1496,0.068,NA,"American Brown Ale",12,"Blackrocks Brewery","Marquette"," MI"
"126",126,13,"51K IPA",1481,0.07,51,"American IPA",12,"Blackrocks Brewery","Marquette"," MI"
"127",127,13,"Grand Rabbits",1480,0.055,NA,"Cream Ale",12,"Blackrocks Brewery","Marquette"," MI"
"128",128,14,"Hotbox Brown",2633,0.055,10,"American Brown Ale",12,"Perrin Brewing Company","Comstock Park"," MI"
"129",129,14,"Gold",2632,0.048,15,"American Blonde Ale",12,"Perrin Brewing Company","Comstock Park"," MI"
"130",130,14,"Black",2631,0.058,NA,"American Black Ale",12,"Perrin Brewing Company","Comstock Park"," MI"
"131",131,14,"98 Problems (Cuz A Hop Ain't One)",2630,0.065,65,"American IPA",12,"Perrin Brewing Company","Comstock Park"," MI"
"132",132,14,"Veteran’s Pale Ale (VPA)",2629,0.05,40,"American Pale Ale (APA)",12,"Perrin Brewing Company","Comstock Park"," MI"
"133",133,14,"Grapefruit IPA",2628,0.05,35,"American IPA",12,"Perrin Brewing Company","Comstock Park"," MI"
"134",134,15,"Train Hopper",2627,0.058,72,"American IPA",12,"Witch's Hat Brewing Company","South Lyon"," MI"
"135",135,15,"Edward’s Portly Brown",2626,0.045,NA,"American Brown Ale",12,"Witch's Hat Brewing Company","South Lyon"," MI"
"136",136,16,"Dirty Bastard",2625,0.085,50,"Scotch Ale / Wee Heavy",12,"Founders Brewing Company","Grand Rapids"," MI"
"137",137,16,"Centennial IPA",1565,0.072,65,"American IPA",12,"Founders Brewing Company","Grand Rapids"," MI"
"138",138,16,"All Day IPA",1223,0.047,42,"American IPA",12,"Founders Brewing Company","Grand Rapids"," MI"
"139",139,17,"Deflator",2624,0.065,NA,"Doppelbock",16,"Flat 12 Bierwerks","Indianapolis"," IN"
"140",140,17,"Hinchtown Hammer Down",2284,0.05,27,"American Blonde Ale",16,"Flat 12 Bierwerks","Indianapolis"," IN"
"141",141,17,"Half Cycle IPA",1610,0.06,104,"American IPA",16,"Flat 12 Bierwerks","Indianapolis"," IN"
"142",142,18,"Cafe Leche",2623,0.058,20,"American Porter",16,"Tin Man Brewing Company","Evansville"," IN"
"143",143,18,"Damascene Apricot Sour",2622,0.052,12,"Fruit / Vegetable Beer",16,"Tin Man Brewing Company","Evansville"," IN"
"144",144,18,"Csar",2621,0.12,90,"Russian Imperial Stout",16,"Tin Man Brewing Company","Evansville"," IN"
"145",145,18,"Klingon Warnog Roggen Dunkel",1817,0.055,NA,"Roggenbier",16,"Tin Man Brewing Company","Evansville"," IN"
"146",146,18,"Overlord Imperial IPA",1449,0.085,115,"American Double / Imperial IPA",16,"Tin Man Brewing Company","Evansville"," IN"
"147",147,18,"Alloy",951,0.058,36,"American IPA",16,"Tin Man Brewing Company","Evansville"," IN"
"148",148,18,"Rivet Irish Red Ale",950,0.051,22,"Irish Red Ale",16,"Tin Man Brewing Company","Evansville"," IN"
"149",149,18,"3 Gear Robust Porter",949,0.052,50,"American Porter",16,"Tin Man Brewing Company","Evansville"," IN"
"150",150,18,"Circuit Bohemian Pilsner",948,0.045,35,"Czech Pilsener",16,"Tin Man Brewing Company","Evansville"," IN"
"151",151,19,"Saucy Intruder",2620,0.072,75,"Rye Beer",16,"Black Acre Brewing Co.","Indianapolis"," IN"
"152",152,20,"Insert Hop Reference",2619,0.058,NA,"American Pale Ale (APA)",16,"Brew Link Brewing","Plainfield"," IN"
"153",153,21,"Thai.p.a",2618,0.07,46,"American IPA",16,"Bare Hands Brewery","Granger"," IN"
"154",154,22,"Citra Faced",2617,0.055,64,"American Pale Wheat Ale",16,"Three Pints Brewing","Martinsville"," IN"
"155",155,22,"Pole Barn Stout",2616,0.055,31,"Oatmeal Stout",16,"Three Pints Brewing","Martinsville"," IN"
"156",156,22,"Pale",2615,0.054,37,"American Pale Ale (APA)",16,"Three Pints Brewing","Martinsville"," IN"
"157",157,22,"Yoshi's Nectar",2614,0.053,27,"California Common / Steam Beer",16,"Three Pints Brewing","Martinsville"," IN"
"158",158,23,"Feel Like Maplin' Love",2613,0.055,NA,"Oatmeal Stout",16,"Four Fathers Brewing ","Valparaiso"," IN"
"159",159,23,"Father's Beer",2612,0.05,NA,"Belgian Pale Ale",16,"Four Fathers Brewing ","Valparaiso"," IN"
"160",160,23,"The 26th",2611,0.06,NA,"American IPA",16,"Four Fathers Brewing ","Valparaiso"," IN"
"161",161,23,"The Gadget",2610,0.064,90,"American IPA",16,"Four Fathers Brewing ","Valparaiso"," IN"
"162",162,24,"Tribute",2609,0.058,58,"American Pale Ale (APA)",12,"Indiana City Brewing","Indianapolis"," IN"
"163",163,25,"Wrath of Pele",2608,0.065,NA,"American Brown Ale",16,"Burn 'Em Brewing","Michigan City"," IN"
"164",164,25,"Black Beer'd",2607,0.068,NA,"American Black Ale",16,"Burn 'Em Brewing","Michigan City"," IN"
"165",165,25,"Mr. Tea",2606,0.078,NA,"Fruit / Vegetable Beer",24,"Burn 'Em Brewing","Michigan City"," IN"
"166",166,25,"Pale Alement",2478,0.055,40,"American Pale Ale (APA)",12,"Burn 'Em Brewing","Michigan City"," IN"
"167",167,25,"Hopkick Dropkick",2471,0.099,115,"American Double / Imperial IPA",12,"Burn 'Em Brewing","Michigan City"," IN"
"168",168,25,"Kreamed Corn",2470,0.06,NA,"Cream Ale",12,"Burn 'Em Brewing","Michigan City"," IN"
"169",169,25,"Coconoats",2464,0.065,NA,"American Pale Wheat Ale",16,"Burn 'Em Brewing","Michigan City"," IN"
"170",170,25,"Joey Wheat",2160,0.068,16,"American Pale Wheat Ale",16,"Burn 'Em Brewing","Michigan City"," IN"
"171",171,25,"3:33 Black IPA",2158,0.072,86,"American IPA",16,"Burn 'Em Brewing","Michigan City"," IN"
"172",172,25,"MCA",2072,0.068,NA,"American IPA",16,"Burn 'Em Brewing","Michigan City"," IN"
"173",173,25,"Pale Alement",2054,0.055,40,"American Pale Ale (APA)",16,"Burn 'Em Brewing","Michigan City"," IN"
"174",174,26,"Tip Off",2605,0.052,29,"Altbier",16,"Sun King Brewing Company","Indianapolis"," IN"
"175",175,26,"Java Mac",2215,0.054,NA,"Scottish Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"176",176,26,"Cowbell",2164,0.054,23,"American Porter",16,"Sun King Brewing Company","Indianapolis"," IN"
"177",177,26,"Hop Up Offa That Brett (2014)",2085,0.058,20,"Belgian Pale Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"178",178,26,"PV Muckle (2013)",2084,0.083,23,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis"," IN"
"179",179,26,"Bourbon Barrel Batch 666: Sympathy for the Devil",2083,0.099,36,"Belgian Dark Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"180",180,26,"Whip Fight",2082,0.09,30,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis"," IN"
"181",181,26,"Port Barrel Wee Mac ",2081,0.053,23,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis"," IN"
"182",182,26,"Fistful Of Hops Red",2001,0.064,75,"American IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"183",183,26,"Fistful of Hops Orange",2000,0.063,75,"American IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"184",184,26,"Fistful Of Hops Blue",1999,0.064,75,"American IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"185",185,26,"Fistful of Hops Green",1996,0.064,75,"American IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"186",186,26,"30 Min Coma",1948,NA,NA,"Belgian IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"187",187,26,"Wee Muckle",1656,0.09,30,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis"," IN"
"188",188,26,"Royal Brat",1599,0.065,55,"Extra Special / Strong Bitter (ESB)",16,"Sun King Brewing Company","Indianapolis"," IN"
"189",189,26,"Grapefruit Jungle (GFJ)",1420,0.075,77,"American IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"190",190,26,"Osiris Pale Ale",1389,0.056,50,"American Pale Ale (APA)",16,"Sun King Brewing Company","Indianapolis"," IN"
"191",191,26,"Bourbon Barrel Aged Timmie",1367,0.099,75,"Russian Imperial Stout",16,"Sun King Brewing Company","Indianapolis"," IN"
"192",192,26,"Stupid Sexy Flanders",1366,0.063,23,"Flanders Oud Bruin",16,"Sun King Brewing Company","Indianapolis"," IN"
"193",193,26,"Bourbon Barrel Cowbell",1347,NA,NA,"American Porter",16,"Sun King Brewing Company","Indianapolis"," IN"
"194",194,26,"Popcorn Pilsner",1314,0.054,NA,"German Pilsener",16,"Sun King Brewing Company","Indianapolis"," IN"
"195",195,26,"Ring of Dingle",1128,0.071,27,"Irish Dry Stout",16,"Sun King Brewing Company","Indianapolis"," IN"
"196",196,26,"Bourbon Barrel Wee Mac",1127,0.054,23,"Scottish Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"197",197,26,"Bourbon Barrel Johan",1049,0.099,60,"English Barleywine",16,"Sun King Brewing Company","Indianapolis"," IN"
"198",198,26,"The Deuce",934,0.07,NA,"American Brown Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"199",199,26,"The Velvet Fog",923,0.09,24,"Quadrupel (Quad)",16,"Sun King Brewing Company","Indianapolis"," IN"
"200",200,26,"Sun King Oktoberfest",874,0.055,23,"Märzen / Oktoberfest",16,"Sun King Brewing Company","Indianapolis"," IN"
"201",201,26,"Indianapolis Indians Lager",739,0.052,24,"Dortmunder / Export Lager",16,"Sun King Brewing Company","Indianapolis"," IN"
"202",202,26,"Indians Victory Lager (2012)",698,0.052,24,"Dortmunder / Export Lager",16,"Sun King Brewing Company","Indianapolis"," IN"
"203",203,26,"Chaka",660,0.08,NA,"Belgian Strong Pale Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"204",204,26,"Isis",651,0.091,91,"American Double / Imperial IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"205",205,26,"Wee Muckle (2011)",584,0.09,30,"Scotch Ale / Wee Heavy",16,"Sun King Brewing Company","Indianapolis"," IN"
"206",206,26,"Grapefruit Jungle (GFJ) (2011)",532,0.075,77,"American IPA",16,"Sun King Brewing Company","Indianapolis"," IN"
"207",207,26,"Sun King Oktoberfest (2011)",526,0.055,23,"Märzen / Oktoberfest",16,"Sun King Brewing Company","Indianapolis"," IN"
"208",208,26,"Johan the Barleywine",394,0.099,60,"English Barleywine",16,"Sun King Brewing Company","Indianapolis"," IN"
"209",209,26,"Wee Mac Scottish-Style Ale",213,0.054,23,"Scottish Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"210",210,26,"Sunlight Cream Ale",55,0.053,20,"Cream Ale",16,"Sun King Brewing Company","Indianapolis"," IN"
"211",211,26,"Osiris Pale Ale (2010)",54,0.056,50,"American Pale Ale (APA)",16,"Sun King Brewing Company","Indianapolis"," IN"
"212",212,27,"Blonde Czich",2604,0.049,23,"American Blonde Ale",16,"Evil Czech Brewery","Mishawaka"," IN"
"213",213,27,"White Reaper",2432,0.07,61,"Belgian IPA",16,"Evil Czech Brewery","Mishawaka"," IN"
"214",214,27,"Bobblehead",2431,0.051,NA,"American Pale Wheat Ale",16,"Evil Czech Brewery","Mishawaka"," IN"
"215",215,27,"Lucky Dog",2430,0.052,NA,"American Pale Ale (APA)",16,"Evil Czech Brewery","Mishawaka"," IN"
"216",216,27,"Voodoo",2429,0.048,NA,"American Porter",16,"Evil Czech Brewery","Mishawaka"," IN"
"217",217,27,"General George Patton Pilsner",1967,0.054,48,"Czech Pilsener",16,"Evil Czech Brewery","Mishawaka"," IN"
"218",218,28,"Galaxyfest",2603,0.065,NA,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"219",219,28,"Citrafest",2602,0.05,45,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"220",220,28,"Barn Yeti",2220,0.09,NA,"Belgian Strong Dark Ale",16,"450 North Brewing Company","Columbus"," IN"
"221",221,28,"Scarecrow",2219,0.069,65,"American IPA",16,"450 North Brewing Company","Columbus"," IN"
"222",222,28,"Ironman",2218,0.09,50,"English Strong Ale",16,"450 North Brewing Company","Columbus"," IN"
"223",223,28,"Honey Kolsch",2217,0.046,15,"Kölsch",16,"450 North Brewing Company","Columbus"," IN"
"224",224,28,"Copperhead Amber",2216,0.052,18,"Belgian Dark Ale",16,"450 North Brewing Company","Columbus"," IN"
"225",225,29,"Deduction",2601,0.08,22,"Dubbel",12,"Taxman Brewing Company","Bargersville"," IN"
"226",226,30,"Gone A-Rye",2600,0.085,90,"American Double / Imperial IPA",16,"Cedar Creek Brewery","Seven Points"," TX"
